#,question,a,b,c,d,correct_answer,category
14,Λήψη αυτεπαγγέλτως από τη Διοίκηση δυσμενούς για διοικούμενο/η μέτρου χωρίς προηγούμενη κλήτευσή του σε ακρόαση:,Δεν είναι δυνατή σε καμία περίπτωση,Είναι δυνατή στην περίπτωση ύπαρξης επιτακτικού δημοσίου συμφέροντος ή αποτροπής κινδύνου,Είναι δυνατή χωρίς περιορισμούς για τη Διοίκηση,Είναι δυνατή εφόσον το δυσμενές μέτρο είναι αιτιολογημένο,1,Διοικητικό Δίκαιο
15,ΔΕΝ απαιτείται προηγούμενη ακρόαση διοικουμένου/ης:,Όταν η διαμονή του είναι άγνωστη και ως εκ τούτου η κλήση του ανέφικτη,Όταν πρόκειται να εκδοθεί δυσμενής ατομική διοικητική πράξη,Όταν το διοικητικό όργανο ενεργεί κατά διακριτική ευχέρεια,Όλες οι λοιπές απαντήσεις,0,Διοικητικό Δίκαιο
16,Ιδιωτικά έγγραφα υποβληθέντα σε δημόσια υπηρεσία καθίστανται δημόσια όταν:,Συντάχθηκαν μεν από ιδιώτη αλλά κατατίθενται και φυλάσσονται σε αρχεία (φάκελο) δημόσιας υπηρεσίας,Ο/Η διοικούμενος/η εγγράφως αιτηθεί την πρόσβαση σε αυτά,Απαιτούνται κατά νόμο ως δικαιολογητικά και λειτουργούν ως επιβοηθητικά για την κρίση του διοικητικού οργάνου για την έκδοση της διοικητικής πράξης,Η διοικητική πράξη που θα εκδοθεί επί της υποθέσεως θα είναι επωφελής για τον διοικούμενο,2,Διοικητικό Δίκαιο
17,Πράξεις της διοίκησης που εκδίδονται επί απλών διοικητικών προσφυγών:,Δύνανται να χειροτερέψουν τη θέση του/της προσφεύγοντος/ουσας,Δύνανται να χειροτερέψουν τη θέση του/της προσφεύγοντος/ουσας υπό την προϋπόθεση ότι προβλέπεται προηγούμενη γνώμη άλλου οργάνου πριν την έκδοση της πράξης επί της προσφυγής,Δεν δύνανται να χειροτερέψουν τη θέση του/της προσφεύγοντος/ουσας,"Δύνανται να χειροτερέψουν τη θέση του/της προσφεύγοντος/ουσας, υπό τις προϋποθέσεις που είναι δυνατή η ανάκληση των διοικητικών πράξεων",3,Διοικητικό Δίκαιο
18,Η υποχρέωση της Διοίκησης να ενημερώνει τον/ην αιτούντα/σα σε περίπτωση καθυστέρησης περιλαμβάνει:,Τους λόγους καθυστέρησης και το αρμόδιο όργανο,Μόνο την ημερομηνία νέας εξέτασης,Μόνο τη διαδικασία έγκρισης,Καμία υποχρέωση,0,Διοικητικό Δίκαιο
19,Οι κανονιστικές πράξεις της Διοίκησης:,Θεσπίζουν γενικούς και αφηρημένους κανόνες δικαίου,Χρειάζονται ειδική και εμπεριστατωμένη αιτιολογία,Αναφέρονται ατομικά σε ορισμένη ρύθμιση ή φυσικό ή νομικό πρόσωπο,Περιβάλλονται μόνον τον τύπο του προεδρικού διατάγματος,0,Διοικητικό Δίκαιο
20,"Μετά την κατάργηση της εξουσιοδοτικής διάταξης νόμου η κανονιστική πράξη, που έχει ήδη εκδοθεί δυνάμει αυτής:",Δεν παύει να ισχύει,Παύει να ισχύει,Χάνει το νόμιμο έρεισμά της και είναι ακυρωτέα,Καθίσταται ανυπόστατη,0,Διοικητικό Δίκαιο
21,"Εάν, μετά από ερώτημα του οργάνου που έχει την αποφασιστική αρμοδιότητα για την έκδοση διοικητικής πράξης, διατυπωθεί απλή γνώμη από το γνωμοδοτικό όργανο, τότε το όργανο που έχει την αποφασιστική αρμοδιότητα:",Δεν μπορεί να εκδώσει πράξη με περιεχόμενο διαφορετικό από αυτό της απλής γνώμης,Μπορεί να αποκλίνει από την απλή γνώμη με ειδική αιτιολογία,Ουδόλως δεσμεύεται από την απλή γνώμη,"Μπορεί, αν δεν συμφωνεί με την απλή γνώμη, να ζητήσει τη γνώμη άλλου οργάνου",1,Διοικητικό Δίκαιο
22,Οι προθεσμίες που τάσσονται στην διοίκηση είναι κατά κανόνα;,Ενδεικτικές,Αποκλειστικές,Άλλοτε ενδεικτικές και άλλοτε αποκλειστικές,Ούτε ενδεικτικές ούτε αποκλειστικές,0,Διοικητικό Δίκαιο
23,Η απλή γνωμοδότηση είναι:,Εκτελεστή πράξη,Δεν έχει εκτελεστό χαρακτήρα,Διαπιστωτική πράξη,Διαδικαστική ενέργεια,1,Διοικητικό Δίκαιο
24,Μία παράνομη ευμενής ατομική διοικητική πράξη:,Δεν επιτρέπεται να ανακληθεί,Ανακαλείται ελευθέρως εφόσον συντρέχει λόγος δημοσίου συμφέροντος,Ανακαλείται μόνο εντός ευλόγου χρόνου,"Δεν ανακαλείται, αλλά μόνον καταργείται για το μέλλον",1,Διοικητικό Δίκαιο
25,Η μη νόμιμη δημοσίευση δημοσιευτέας διοικητικής πράξης την καθιστά:,Παράνομη,Δεν επηρεάζει το κύρος της,Άλλοτε νόμιμη και άλλοτε παράνομη,Ανυπόστατη,3,Διοικητικό Δίκαιο
26,"Εφόσον σε μία διοικητική πράξη ελλείπουν τα εξωτερικά στοιχεία και το τεκμήριο νομιμότητας, η πράξη είναι:",Ανυπόστατη,Άκυρη,Ακυρώσιμη,Ελαττωματική,0,Διοικητικό Δίκαιο
27,Η αιτιολογία των διοικητικών πράξεων:,"Αφορά είτε τη νομιμότητα, είτε τη σκοπιμότητα έκδοσης της διοικητικής πράξης",Συνίσταται στην έκθεση των πραγματικών και νομικών λόγων δυνάμει των οποίων η διοίκηση προέβη στην έκδοσή της,"Αφορά είτε τη νομιμότητα, είτε τη σκοπιμότητα έκδοσης της διοικητικής πράξης και συνίσταται στην έκθεση των πραγματικών και νομικών λόγων δυνάμει των οποίων η διοίκηση προέβη στην έκδοσή της",Καμία από τις λοιπές απαντήσεις,2,Διοικητικό Δίκαιο
28,Η αρμοδιότητα ανάκλησης μιας πράξης της διοίκησης ανήκει:,Στο διοικητικό όργανο που εξέδωσε την πράξη,"Στο διοικητικό όργανο που είναι, κατά το χρόνο της ανάκλησης, αρμόδιο για την έκδοσή της","Στο διοικητικό όργανο που εξέδωσε την πράξη και στο διοικητικό όργανο που είναι, κατά το χρόνο της ανάκλησης, αρμόδιο για την έκδοσή της",Καμία από τις λοιπές απαντήσεις,2,Διοικητικό Δίκαιο
