#,question,a,b,c,d,correct_answer,category
13,Για τον υπολογισμό των προθεσμιών της Διοίκησης προς ενέργεια εφαρμόζονται οι διατάξεις:,"Του Αστικού Κώδικα, αν ειδικές διατάξεις δεν ορίζουν διαφορετικά",Του Κώδικα Διοικητικής Δικονομίας,"Του Ποινικού Κώδικα, αν οι ειδικές διατάξεις δεν ορίζουν διαφορετικά",Του Κώδικα Πολιτικής Δικονομίας,0,Διοικητικό Δίκαιο
14,Η Διοίκηση δύναται να απορρίψει αίτημα πρόσβασης διοικουμένου/ης σε διοικητικά έγγραφα:,Χωρίς χρονικούς περιορισμούς και αναιτιολογήτως,Αρκεί της απόρριψης να έχει προηγηθεί προφορική ακρόαση του διοικουμένου,Αρκεί η απόρριψη να είναι αιτιολογημένη εντός είκοσι (20) ημερών από την υποβολή της αίτησης,Αρκεί να μην έχουν παρέλθει είκοσι πέντε (25) ημέρες από την υποβολή της αίτησης μέχρι την απόρριψη,2,Διοικητικό Δίκαιο
15,Η κλήση διοικουμένου/ης προς ακρόαση ενώπιον της Διοίκησης πριν την επιβολή δυσμενούς μέτρου κοινοποιείται:,Τουλάχιστον τρεις (3) πλήρεις ημέρες πριν την ημέρα της ακροάσεως,Τουλάχιστον τέσσερις (4) πλήρεις ημέρες πριν την ημέρα της ακροάσεως,Τουλάχιστον δύο (2) πλήρεις ημέρες πριν την ημέρα της ακροάσεως,Τουλάχιστον πέντε (5) πλήρεις ημέρες πριν την ημέρα της ακροάσεως,3,Διοικητικό Δίκαιο
16,Αίτηση ανάκλησης παραίτησης διοικουμένου/ης από προηγούμενη αίτησή του/της:,"Είναι δυνατή, προκειμένου να διασφαλιστούν τα δικαιώματα του/της διοικουμένου/ης",Δεν είναι δυνατή για λόγους σταθερότητας των διοικητικών εννόμων καταστάσεων,Εναπόκειται στην κρίση του διοικητικού οργάνου να αποδεχθεί ή μη την αίτηση ανάκλησης παραίτησης,"Είναι δυνατή, εφόσον έχουν παρέλθει οι σχετικές προθεσμίες για την έκδοση της πράξης",1,Διοικητικό Δίκαιο
17,Υποχρέωση υποβολής από τον/την διοικούμενο/η στις δημόσιες υπηρεσίες πρωτότυπων δημόσιων εγγράφων ή επικυρωμένων:,"Υφίσταται, εκτός εάν για ειδικές διοικητικές διαδικασίες ορίζεται διαφορετικά",Εναπόκειται στη διακριτική ευχέρεια του οργάνου διεκπεραίωσης της υπόθεσης,"Δεν υφίσταται, καθώς αρκεί η υποβολή ευκρινών φωτοαντιγράφων","Δεν υφίσταται, αρκεί το φωτοαντίγραφο να συνοδεύεται από υπεύθυνη δήλωση του/της διοικουμένου/ης  περί της ακρίβειας των στοιχείων",2,Διοικητικό Δίκαιο
18,Οι ατομικές διοικητικές πράξεις:,Δεν μπορεί να ανακληθούν,Δημοσιεύονται υποχρεωτικά στην Εφημερίδα της Κυβερνήσεως,Δεν καλύπτονται από το τεκμήριο της νομιμότητας,Πρέπει να περιέχουν σαφή και ειδική αιτιολογία,3,Διοικητικό Δίκαιο
19,Κανονιστικές πράξεις εκδίδονται:,Από τα όργανα της εκτελεστικής εξουσίας,Από τα όργανα της νομοθετικής εξουσίας,Από τα όργανα είτε της εκτελεστικής είτε της νομοθετικής εξουσίας,"Από τα όργανα και των τριών εξουσιών, εκτελεστικής, νομοθετικής και δικαστικής",0,Διοικητικό Δίκαιο
20,Είναι δυνατή η άμεση λήψη δυσμενούς μέτρου κατά διοικουμένου/ης χωρίς να κληθεί σε προηγούμενη ακρόαση;,Η άμεση λήψη εναπόκειται στη διακριτική ευχέρεια της αρμόδιας διοικητικής αρχής,Μόνον όταν οι σχετικές με το δυσμενές μέτρο διατάξεις προβλέπουν δυνατότητα άσκησης διοικητικής προσφυγής,Αν η άμεση λήψη του δυσμενούς μέτρου είναι αναγκαία για την αποτροπή κινδύνου ή λόγω επιτακτικού δημόσιου συμφέροντος.,Εφόσον συμφωνεί ο/η ενδιαφερόμενος/η,2,Διοικητικό Δίκαιο
21,Επιβάλλεται να περιέχεται η αιτιολογία στο σώμα της διοικητικής πράξης;,Μόνον εάν το ζητήσει με σχετική αίτηση ο/η αποδέκτης/τρια της πράξης,Η αιτιολογία πρέπει σε κάθε περίπτωση να προκύπτει από τα στοιχεία του φακέλου και δεν απαιτείται να περιέχεται στο σώμα της πράξης,Ανήκει στη διακριτική ευχέρεια του διοικητικού οργάνου να περιλάβει την αιτιολογία στο σώμα της πράξης,Μόνον εάν αυτό προβλέπεται ρητώς στον νόμο,3,Διοικητικό Δίκαιο
22,Οι προθεσμίες που τάσσονται σε διοικούμενο/η είναι κατά κανόνα:,Ενδεικτικές,Αποκλειστικές,Άλλοτε ενδεικτικές και άλλοτε αποκλειστικές,Ούτε ενδεικτικές ούτε αποκλειστικές,1,Διοικητικό Δίκαιο
23,Το σήμα τροχονόμου είναι:,Σιωπηρή πράξη,Ρητή πράξη,Υλική πράξη,Διοικητικό σύμβολο,1,Διοικητικό Δίκαιο
24,Μία παράνομη κανονιστική διοικητική πράξη:,Δεν επιτρέπεται να ανακληθεί,Ανακαλείται ελευθέρως,"Κατά κανόνα δεν ανακαλείται, αλλά μόνον καταργείται για το μέλλον",Ανακαλείται υπό περιορισμούς,2,Διοικητικό Δίκαιο
25,Η διοίκηση ενεργεί:,Μόνον αυτεπαγγέλτως,Ύστερα από αίτηση του/της ενδιαφερομένου/ης,Τόσο αυτεπαγγέλτως όσο και κατόπιν αιτήσεως του/της διοικουμένου/ης,Όταν το ζητήσει το εκάστοτε αρμόδιο πολιτικό πρόσωπο,2,Διοικητικό Δίκαιο
